source_type,source_native_id,event_date,title_or_name,doi,venue,topics,candidate_family,retrieved_candidate_families,auto_in_scope,auto_primary_technology_id,auto_secondary_technology_ids,auto_confidence,auto_false_positive_type,screening_reason,evidence_excerpt,retrieval_evidence_scope,ai_prereview_status,ai_suggested_in_scope,ai_suggested_primary_technology_id,ai_review_note,gold_status,gold_in_scope,gold_primary_technology_id,reviewer_note
science,https://openalex.org/W2787887017,2018-02-20,"The malicious use of artificial intelligence: Forecasting, prevention, and mitigation",https://doi.org/10.17863/cam.22520,Apollo (University of Cambridge),"[""Artificial Intelligence in Healthcare and Education"", ""Adversarial Robustness in Machine Learning"", ""Anomaly Detection Techniques and Applications""]",T01,"[""T01""]",False,,[],LOW,GENERIC_AI,"AI signal ['artificial intelligence', 'machine learning'] present but no AI-for-cybersecurity family passed term/context rules","This report surveys the landscape of potential security threats from malicious uses of AI, and proposes ways to better forecast, prevent, and mitigate these threats. After analyzing the ways in which AI may influence the threat landscape in the digital, physical, and political domains, we make four high-level recommendations for AI researchers and other stakeholders. We also suggest several promising areas for further research that could expand the portfolio of defenses, or make attacks less effective or harder to execute. Finally, we discuss, but do not conclusively resolve, the long-term equilibrium of attackers and defenders.","OpenAlex search covers title/abstract/fulltext; stored Pilot evidence currently includes title metadata plus reconstructed abstract, not fulltext.",,,,,,,,
science,https://openalex.org/W3137781054,2021-03-20,BGNN4VD: Constructing Bidirectional Graph Neural-Network for Vulnerability Detection,https://doi.org/10.1016/j.infsof.2021.106576,Information and Software Technology,"[""Software Engineering Research"", ""Advanced Malware Detection Techniques"", ""Software Reliability and Analysis Research""]",T01,"[""T01""]",False,,[],REJECT,NO_AI_SIGNAL,cybersecurity capability found but no AI-method anchor,,"OpenAlex search covers title/abstract/fulltext; stored Pilot evidence currently includes title metadata plus reconstructed abstract, not fulltext.",,,,,,,,
science,https://openalex.org/W2885030880,2021-02-09,SySeVR: A Framework for Using Deep Learning to Detect Software Vulnerabilities,https://doi.org/10.1109/tdsc.2021.3051525,IEEE Transactions on Dependable and Secure Computing,"[""Information and Cyber Security"", ""Web Application Security Vulnerabilities"", ""Software Engineering Research""]",T01,"[""T01""]",True,T01,[],HIGH,,"AI=['machine learning', 'deep learning']; family=['vulnerability detection', 'software', 'source code']","The detection of software vulnerabilities (or vulnerabilities for short) is an important problem that has yet to be tackled, as manifested by the many vulnerabilities reported on a daily basis. This calls for machine learning methods for vulnerability detection. Deep learning is attractive for this purpose because it alleviates the requirement to manually define features. Despite the tremendous success of deep learning in other application domains, its applicability to vulnerability detection is not systematically understood. In order to fill this void, we propose thefirstsystematic framework for using deep learning to detect vulnerabilities in C/C++ programs with source code. The framework, dubbedSyntax-based,Semantics-based, andVectorRepresentations(SySeVR), focuses on obtaining program representations that can accommodate syntax and semantic information pertinent to vulnerabilities. Our experiments with four software products demonstrate the usefulness of the framework: we detect 15 vulnerabilities that are not reported in the National Vulnerability Database. Among these 15 vulnerabilities, seven are unknown and have been reported to the vendors, and the other eight have been “silently” patched by the vendors when releasing newer versions of the pertinent software products.","OpenAlex search covers title/abstract/fulltext; stored Pilot evidence currently includes title metadata plus reconstructed abstract, not fulltext.",,,,,,,,
science,https://openalex.org/W3127782461,2021-02-05,The rise of software vulnerability: Taxonomy of software vulnerabilities detection and machine learning approaches,https://doi.org/10.1016/j.jnca.2021.103009,Journal of Network and Computer Applications,"[""Advanced Malware Detection Techniques"", ""Web Application Security Vulnerabilities"", ""Software Engineering Research""]",T01,"[""T01""]",True,T03,[],HIGH,,"AI=['machine learning']; family=['malware detection', 'NO_REQUIRED_CONTEXT']",,"OpenAlex search covers title/abstract/fulltext; stored Pilot evidence currently includes title metadata plus reconstructed abstract, not fulltext.",,,,,,,,
science,https://openalex.org/W2240307463,2015-11-01,Should fixing these failures be delegated to automated program repair?,https://doi.org/10.1109/issre.2015.7381836,,"[""Software Testing and Debugging Techniques"", ""Software Engineering Research"", ""Software Reliability and Analysis Research""]",T02,"[""T02""]",False,,[],LOW,GENERIC_AI,AI signal ['machine learning'] present but no AI-for-cybersecurity family passed term/context rules,"Program repair constitutes one of the major components of software maintenance that usually incurs a significant cost in software production. Automated program repair is supposed to help in reducing the software maintenance cost by automatically fixing software defects. Despite the recent advances in automated software repair, it is still very costly to wait for repair tools to produce valid repairs of defects. This paper addresses the following question: ""Will an automated program repair technique find a repair for a defect within a reasonable time?"". To answer this question, we build an oracle that can predict whether fixing a failure should be delegated to an automated repair technique. If the repair technique is predicted to take too long to produce a repair, the bug fixing process should rather be assigned to a developer or other appropriate techniques available. Our oracle is built for genetic-programming-based automated program repair approaches, which have recently received considerable attention due to their capability to automatically fix real-world bugs. These approaches search for a valid repair over a large number of variants that are syntactically mutated from the original program. At an early stage of running a repair tool, we extract a number of features that are potentially related to the effectiveness of the tool. Leveraging advances in machine learning, we process the values of these features to learn a discriminative model that is able to predict whether continuing a genetic programming search will lead to a repair within a desired time limit. We perform","OpenAlex search covers title/abstract/fulltext; stored Pilot evidence currently includes title metadata plus reconstructed abstract, not fulltext.",,,,,,,,
science,https://openalex.org/W2759944965,2017-09-29,A correlation study between automated program repair and test-suite metrics,https://doi.org/10.1007/s10664-017-9552-y,Empirical Software Engineering,"[""Software Testing and Debugging Techniques"", ""Software Reliability and Analysis Research"", ""Software Engineering Research""]",T02,"[""T02""]",False,,[],REJECT,NO_AI_SIGNAL,cybersecurity capability found but no AI-method anchor,,"OpenAlex search covers title/abstract/fulltext; stored Pilot evidence currently includes title metadata plus reconstructed abstract, not fulltext.",,,,,,,,
science,https://openalex.org/W3156480510,2022-02-01,Neural Transfer Learning for Repairing Security Vulnerabilities in C Code,https://doi.org/10.1109/tse.2022.3147265,IEEE Transactions on Software Engineering,"[""Software Engineering Research"", ""Software Reliability and Analysis Research"", ""Software Testing and Debugging Techniques""]",T02,"[""T02""]",True,T02,[],HIGH,,"AI=['machine learning', 'deep learning']; family=['vulnerability repair', 'vulnerability', 'security']","In this paper, we address the problem of automatic repair of software vulnerabilities with deep learning. The major problem with data-driven vulnerability repair is that the few existing datasets of known confirmed vulnerabilities consist of only a few thousand examples. However, training a deep learning model often requires hundreds of thousands of examples. In this work, we leverage the intuition that the bug fixing task and the vulnerability fixing task are related and that the knowledge learned from bug fixes can be transferred to fixing vulnerabilities. In the machine learning community, this technique is called transfer learning. In this paper, we propose an approach for repairing security vulnerabilities named VRepair which is based on transfer learning. VRepair is first trained on a large bug fix corpus and is then tuned on a vulnerability fix dataset, which is an order of magnitude smaller. In our experiments, we show that a model trained only on a bug fix corpus can already fix some vulnerabilities. Then, we demonstrate that transfer learning improves the ability to repair vulnerable C functions. We also show that the transfer learning model performs better than a model trained with a denoising task and fine-tuned on the vulnerability fixing task. To sum up, this paper shows that transfer learning works well for repairing security vulnerabilities in C compared to learning on a small dataset.","OpenAlex search covers title/abstract/fulltext; stored Pilot evidence currently includes title metadata plus reconstructed abstract, not fulltext.",,,,,,,,
science,https://openalex.org/W4318902699,2023-01-30,Conversational Automated Program Repair,https://doi.org/10.48550/arxiv.2301.13246,arXiv (Cornell University),"[""Software Testing and Debugging Techniques"", ""Software Engineering Research"", ""Advanced Malware Detection Techniques""]",T02,"[""T02""]",True,T03,[],HIGH,,"AI=['LLM']; family=['malware detection', 'NO_REQUIRED_CONTEXT']","Automated Program Repair (APR) can help developers automatically generate patches for bugs. Due to the impressive performance obtained using Large Pre-Trained Language Models (LLMs) on many code related tasks, researchers have started to directly use LLMs for APR. However, prior approaches simply repeatedly sample the LLM given the same constructed input/prompt created from the original buggy code, which not only leads to generating the same incorrect patches repeatedly but also miss the critical information in testcases. To address these limitations, we propose conversational APR, a new paradigm for program repair that alternates between patch generation and validation in a conversational manner. In conversational APR, we iteratively build the input to the model by combining previously generated patches with validation feedback. As such, we leverage the long-term context window of LLMs to not only avoid generating previously incorrect patches but also incorporate validation feedback to help the model understand the semantic meaning of the program under test. We evaluate 10 different LLM including the newly developed ChatGPT model to demonstrate the improvement of conversational APR over the prior LLM for APR approach.","OpenAlex search covers title/abstract/fulltext; stored Pilot evidence currently includes title metadata plus reconstructed abstract, not fulltext.",,,,,,,,
science,https://openalex.org/W2295598076,2016-08-08,XGBoost,https://doi.org/10.1145/2939672.2939785,,"[""Machine Learning and Data Classification"", ""Machine Learning and Algorithms"", ""Algorithms and Data Compression""]",T03,"[""T03""]",False,,[],LOW,GENERIC_AI,AI signal ['machine learning'] present but no AI-for-cybersecurity family passed term/context rules,"Tree boosting is a highly effective and widely used machine learning method. In this paper, we describe a scalable end-to-end tree boosting system called XGBoost, which is used widely by data scientists to achieve state-of-the-art results on many machine learning challenges. We propose a novel sparsity-aware algorithm for sparse data and weighted quantile sketch for approximate tree learning. More importantly, we provide insights on cache access patterns, data compression and sharding to build a scalable tree boosting system. By combining these insights, XGBoost scales beyond billions of examples using far fewer resources than existing systems.","OpenAlex search covers title/abstract/fulltext; stored Pilot evidence currently includes title metadata plus reconstructed abstract, not fulltext.",,,,,,,,
science,https://openalex.org/W2792310543,2018-01-12,Significant Permission Identification for Machine-Learning-Based Android Malware Detection,https://doi.org/10.1109/tii.2017.2789219,IEEE Transactions on Industrial Informatics,"[""Advanced Malware Detection Techniques"", ""Network Security and Intrusion Detection"", ""Software Testing and Debugging Techniques""]",T03,"[""T03""]",False,,[],REJECT,NO_AI_SIGNAL,cybersecurity capability found but no AI-method anchor,"The alarming growth rate of malicious apps has become a serious issue that sets back the prosperous mobile ecosystem. A recent report indicates that a new malicious app for Android is introduced every 10 s. To combat this serious malware campaign, we need a scalable malware detection approach that can effectively and efficiently identify malware apps. Numerous malware detection tools have been developed, including system-level and network-level approaches. However, scaling the detection for a large bundle of apps remains a challenging task. In this paper, we introduce Significant Permission IDentification (SigPID), a malware detection system based on permission usage analysis to cope with the rapid increase in the number of Android malware. Instead of extracting and analyzing all Android permissions, we develop three levels of pruning by mining the permission data to identify the most significant permissions that can be effective in distinguishing between benign and malicious apps. SigPID then utilizes machine-learning-based classification methods to classify different families of malware and benign apps. Our evaluation finds that only 22 permissions are significant. We then compare the performance of our approach, using only 22 permissions, against a baseline approach that analyzes all permissions. The results indicate that when a support vector machine is used as the classifier, we can achieve over 90% of precision, recall, accuracy, and F-measure, which are about the same as those produced by the baseline approach while incurring the analysis times that are 4-32 times le","OpenAlex search covers title/abstract/fulltext; stored Pilot evidence currently includes title metadata plus reconstructed abstract, not fulltext.",,,,,,,,
